Iterations,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
Value Iteration,6696,297,690,64,22,27,30,42,28,26,28,35,35,29,28,30,29,29,32,21,24,25,32,28,26,26,31,25,38,31,27,28,21,27,29,34,25,33,32,28,24,25,24,33,24,26,21,23,28,33,30,24,25,29,26,27,27,27,21,28,22,32,30,36,29,28,24,25,27,34,35,25,24,26,28,27,34,29,24,22,23,23,29,23,35,23,27,25,25,23,23,32,26,35,24,26,25,27,25,27
Policy Iteration,22400,1964,806,676,663,452,32,109,26,49,26,32,30,22,34,33,40,39,24,23,31,31,22,28,26,26,31,27,27,24,25,29,25,25,23,23,28,30,21,32,26,37,29,27,21,25,23,29,28,25,29,25,28,25,25,30,30,32,24,23,28,21,23,29,34,25,31,22,21,27,33,29,31,26,21,26,32,26,28,31,24,23,25,27,27,23,31,25,37,21,23,24,42,30,28,23,23,27,26,29
Q Learning,496,458,363,190,201,103,131,227,79,261,297,86,96,82,156,69,80,79,68,112,48,112,43,108,202,118,30,93,54,54,166,32,168,137,60,98,55,66,100,44,64,50,39,66,77,53,72,49,54,78,191,47,71,27,92,77,65,68,42,85,105,51,49,58,42,104,187,67,35,81,55,77,53,66,54,31,76,63,33,21,32,37,54,81,79,42,62,91,79,49,56,45,46,55,48,55,60,67,71,94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iterations,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
Value Iteration,110,13,11,19,24,21,29,34,17,24,42,33,44,49,47,39,44,55,38,57,50,40,38,39,70,77,85,77,56,53,50,66,56,56,47,49,51,59,52,70,82,84,84,58,59,57,69,91,72,76,82,81,78,73,77,118,101,129,100,106,81,90,79,89,80,115,97,89,98,111,132,93,127,106,115,105,100,102,109,118,109,102,147,170,111,117,113,109,112,112,120,135,129,122,117,133,131,131,145,150
Policy Iteration,14,9,9,20,25,31,26,36,35,32,56,48,56,60,60,77,63,63,58,62,78,57,59,76,63,63,61,63,69,69,78,77,89,95,101,113,110,92,87,95,93,96,112,104,115,119,109,114,113,114,114,124,122,167,165,134,131,189,190,185,198,188,196,189,180,177,163,167,193,183,188,378,188,171,179,188,205,255,254,205,236,199,209,188,210,253,249,239,270,243,204,249,278,244,267,253,236,234,313,253
Q Learning,27,37,18,14,15,21,19,20,16,22,12,13,13,12,13,14,14,11,12,12,12,16,15,22,17,17,17,12,17,16,17,21,34,15,25,22,21,24,18,19,17,19,22,22,22,19,18,21,27,24,36,19,18,26,21,24,20,37,50,31,33,35,34,27,19,26,30,22,23,24,27,25,30,25,27,26,23,22,27,34,28,29,25,30,25,34,36,31,27,23,27,31,36,25,27,26,34,27,32,32
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iterations,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
